,0
0,0.5808510638297872
1,0.5783664459161147
2,0.5845824411134903
3,0.5927601809954751
4,0.588477366255144
5,0.6178489702517163
6,0.6047516198704104
7,0.5553319919517102
8,0.5734126984126984
9,0.5399159663865546
10,0.5738045738045738
11,0.5550660792951542
12,0.5739644970414202
13,0.5509803921568628
14,0.5459770114942529
15,0.6187214611872146
16,0.5571725571725572
17,0.5456431535269709
18,0.5917030567685589
19,0.5688259109311741
20,0.5874730021598272
21,0.5717344753747323
22,0.5268389662027833
23,0.5516528925619835
24,0.5441478439425051
25,0.5435203094777563
26,0.5770925110132159
27,0.519774011299435
28,0.5433526011560693
29,0.5102459016393442
30,0.5068181818181818
31,0.5147392290249433
32,0.49190283400809715
33,0.4764044943820225
34,0.5
35,0.4279661016949153
36,0.4506024096385542
37,0.41317365269461076
38,0.4140127388535032
39,0.36344969199178645
40,0.40083507306889354
41,0.399624765478424
42,0.37938144329896906
43,0.41830065359477125
44,0.3697478991596639
45,0.432967032967033
46,0.4375
47,0.4258474576271186
48,0.4157303370786517
49,0.42291666666666666
50,0.43844492440604754
51,0.3968253968253968
52,0.41237113402061853
53,0.40365111561866124
54,0.41386554621848737
55,0.40384615384615385
56,0.4132420091324201
57,0.38445807770961143
58,0.42430703624733473
59,0.4154786150712831
60,0.4216589861751152
61,0.4056795131845842
62,0.3737166324435318
63,0.42761692650334077
64,0.4423076923076923
65,0.42516268980477223
66,0.43162393162393164
67,0.4267515923566879
68,0.4340425531914894
69,0.43243243243243246
70,0.43526785714285715
71,0.44136460554371004
72,0.4314516129032258
73,0.41983122362869196
74,0.40973630831643004
75,0.43162393162393164
76,0.509719222462203
77,0.5560081466395111
78,0.5928411633109619
79,0.6153846153846154
80,0.5515151515151515
81,0.5851063829787234
82,0.6148796498905909
83,0.5806451612903226
84,0.5783664459161147
85,0.5932914046121593
86,0.5313092979127134
87,0.5956521739130435
88,0.6060606060606061
89,0.5613682092555332
90,0.5921908893709328
91,0.5577299412915852
92,0.5639412997903563
93,0.5599173553719008
94,0.6153846153846154
95,0.5379876796714579
96,0.5708884688090737
97,0.5828092243186582
98,0.5796178343949044
99,0.5677290836653387
100,0.5705263157894737
101,0.559322033898305
102,0.5567010309278351
103,0.558091286307054
104,0.571992110453649
105,0.5729847494553377
106,0.5580448065173116
107,0.5682281059063137
108,0.5870445344129555
109,0.6099773242630385
110,0.5366876310272537
111,0.592436974789916
112,0.549266247379455
113,0.5858585858585859
114,0.5714285714285714
115,0.6098654708520179
116,0.569672131147541
117,0.597872340425532
118,0.5961123110151187
119,0.5623721881390593
120,0.5365384615384615
121,0.5756385068762279
122,0.5366336633663367
123,0.5692599620493358
124,0.591324200913242
125,0.5475206611570248
126,0.6050228310502284
127,0.5630252100840336
128,0.6131868131868132
129,0.5653923541247485
130,0.5526838966202783
131,0.5824634655532359
132,0.5652173913043478
133,0.5905172413793104
134,0.5386178861788617
135,0.5661605206073753
136,0.5767918088737202
